Name,Socket,Chipset,MaxRAMSpeed,MemoryType,SupportedStorageInterfaces,SupportedFormFactors,Formfactor
Asus Prime Z270-K,LGA 1151,Intel Z270,DDR4-3866MHz (OC),DDR4,"SATA III, PCIe x4, M.2 (Key A/B), U.2","2.5"", 3.5""",ATX
Asus TUF B360M-Plus Gaming,LGA 1151,Intel B360,DDR4 2400 MHz,DDR4,"SATA III, M.2 NVMe, USB",,Micro-ATX
Gigabyte GA-AB350M-DS3H,AM4,AMD B350,3200 MHz,DDR4,"SATA III, PCIe NVMe","M.2, U.2, SATA",Micro-ATX
Asrock Z370 Extreme4,LGA 1151,Intel Z370,DDR4 3200(O.C.),DDR4,"SATA III, M.2 (NVMe), U.2",M.2,ATX
Asrock Z390 Phantom Gaming 4,LGA 1151,Intel Z390,DDR4-4600 (OC),DDR4,"SATA III, PCIe NVMe, M.2","2.5"", M.2",ATX
Asus ROG Strix Z390-H Gaming,LGA 1151,Intel Z390,DDR4 3200 MHz (OC),DDR4,,,ATX
Asus EX-H110M-V,LGA 1151,Intel H110,DDR4 2133 MHz,DDR4 SDRAM,"SATA III, PCIe x2","2.5-inch HDD, M.2 SSD",Micro-ATX
MSI B150 Gaming M3,LGA 1151,Intel B150,DDR4-2400,DDR4,"SATA III, PCIe NVMe, M.2","2.5"", mSATA, SATA DOM",ATX
Asrock B250 Pro4,LGA 1151,Intel B250,DDR4-2400,DDR4,"SATA III, M.2 (NVMe/SATA), U.2","2.5"", mSATA",ATX
Asus TUF B450M-Pro Gaming,AM4,AMD B450,3200 MHz,DDR4,"SATA III, PCIe NVMe","2.5-inch SATA HDD, M.2 NVMe SSD",Micro-ATX
MSI MPG X570 Gaming Pro Carbon Wifi,AM4,AMD X570,3200 MHz,DDR4,"SATA III, PCIe NVMe","M.2, U.2, SATA",ATX
Biostar H110MHC,LGA 1151,Intel H110,DDR4-2133 MHz,DDR4,"SATA III, M.2 (SATA and PCIe)",,Micro-ATX
Biostar Hi-Fi A70U3P Rev. 1.0,FM2+,AMD A70M,1866 MHz,DDR3,"SATA III, M.2, PCIe NVMe","2.5-inch HDD, M.2 SSD",Micro-ATX
MSI MPG Z390 Gaming Edge AC,LGA 1151,Intel Z390,DDR4 4600MHz (OC),DDR4,"SATA III, PCIe NVMe","2.5"" HDD, M.2 NVMe SSD",ATX
Gigabyte Z370 Aorus Ultra Gaming,LGA 1151,Intel Z370,DDR4 4600,DDR4,"SATA III, M.2 NVMe, PCIe NVMe","M.2 SSD, U.2 SSD",ATX
MSI X370 Gaming Plus,AM4,AMD X370,3200MHz (since it's an AMD X370 chipset),DDR4,"SATA III, PCIe x4","2.5-inch and 3.5-inch hard drives and SSDs, M.2 NVMe SSDs",ATX
MSI B250M Pro-VD,LGA 1151,Intel B250,DDR4-2400,DDR4,"SATA III, M.2 (SATA and PCIe)","2.5"" SSD, 3.5"" HDD",Micro-ATX
MSI Z170A Gaming M3,LGA 1151,Intel Z170,DDR4-3400MHz,DDR4,"SATA III, PCIe NVMe, M.2",2.5-inch and mSATA for SSDs; 3.5-inch for HDDs,ATX
Asus ROG Striker II Extreme,LGA 775,Nvidia nForce 790i Ultra SLI,DDR3-1333,DDR3,"SATA II, PCIe","2.5"", 3.5""",ATX
Asrock A320M-DVS R4.0,AM4,AMD A320,3200MHz,DDR4,"SATA III, M.2 NVMe, PCIe x4","2.5"", 3.5""",Micro-ATX
Asrock A320M-DGS,AM4,AMD A320,DDR4 2400 MHz,DDR4,"SATA6Gb/s, M.2 (Key E), USB-C","Micro-ATX, Mini-ITX",Micro-ATX
Gigabyte GA-B250-HD3,LGA 1151,Intel B250,DDR4 2400 MHz,DDR4,"SATA III, M.2, PCIe NVMe","2.5"", 3.5""",ATX
Gigabyte GA-B150M-HD3,LGA 1151,Intel B150,DDR4 2400MHz,DDR4,"SATA III, M.2 (SATA and PCIe), USB","2.5"" HDD, mSATA SSD, M.2 SSD",Micro-ATX
Asus ROG Maximus III Gene,LGA 1156,Intel P55,DDR3 2200MHz,DDR3,"SATA II, eSATA, IDE","2.5-inch (Hard Disk Drive), 1.8-inch (Solid State Drive)",Micro-ATX
Asus Prime H270-Pro,LGA 1151,Intel H270,DDR4 2400MHz,DDR4,"SATA III, M.2 (NVMe), PCIe","2.5"" HDD, M.2 SSD",ATX
Asus Prime H310M-A R2.0,LGA 1151,Intel H310,DDR4 2400,DDR4,"SATA III, M.2 NVMe, M.2 SATA",,Micro-ATX
Asrock AB350M-HDV,AM4,AMD B350,3200MHz,DDR4,"SATA III, M.2 (SATA & PCIe), UEFI","2.5"" HDD, M.2 SSD",Micro-ATX
MSI A320M Pro-VH Plus,AM4,AMD A320,DDR4 3600 (OC),DDR4,"SATA III, M.2 NVMe, PCIe NVMe","2.5-inch HDD, M.2 SSD",Micro-ATX
Asrock H110M-DGS,LGA 1151,Intel H110,2133 MHz (assuming this is a common maximum RAM speed for an Intel H110 chipset),DDR4,"SATA, M.2",,Micro-ATX
Asus ROG Rampage Formula,LGA 775,Intel X48,DDR2-1066,DDR2,"SATA II, IDE, eSATA","3.5"", 2.5""",ATX
Asus TUF B350M-Plus Gaming,AM4,AMD B350,3200 MHz (according to Asus' specs),DDR4,"SATA III, M.2 NVMe, PCIe x4",,Micro-ATX
Gigabyte Z370 Aorus Gaming 3,LGA 1151,Intel Z370,DDR4 3200MHz,DDR4,"SATA III, PCIe NVMe","2.5"", M.2",ATX
Fujitsu D3400-B2,LGA 1151,Intel H110,DDR4-2400,DDR4,"SATA III, M.2 NVMe, PCIe x4","2.5-inch HDD, M.2 SSD, PCIe SSD",Micro-ATX
MSI Z270 PC Mate,LGA 1151,Intel Z270,DDR4-3200,DDR4,"SATA III, PCIe x4, M.2","HDD, SSD, M.2",ATX
Asrock Fatal1ty 990FX Killer,AM3+,AMD 990FX,DDR3 2400,DDR3,"SATA III, SATA II, IDE","2.5-inch and 3.5-inch hard drives, SSDs",ATX
Asus ROG Rampage III Gene,LGA 1366,Intel X58,DDR3 2600 (OC),DDR3 SDRAM,"SATA II, SATA III, PCIe x4","2.5-inch HDD, M.2 SSD",Micro-ATX
MSI B350M Mortar,AM4,AMD B350,3200 MHz (dual-channel),DDR4,"SATA III, PCIe NVMe","2.5-inch HDD, M.2 SSD",Micro-ATX
Asus Prime Z370-A,LGA 1151,Intel Z370,DDR4 4800MHz,DDR4,"SATA III, PCIe NVMe, M.2 NVMe","U.2, M.2",ATX
MSI H110M PRO-VH,LGA 1151,Intel H110,DDR4 2133 MHz,DDR4,"SATA III, M.2 NVMe","2.5"", 3.5""",Micro-ATX
MSI B350 Gaming Plus,AM4,AMD B350,DDR4 3200MHz,DDR4,"SATA III, M.2 NVMe, PCIe x4","2.5-inch HDD, mSATA SSD, M.2 SSD",ATX
Asrock B450M Pro4,AM4,AMD B450,3200MHz,DDR4,"SATA III, PCIe NVMe","2.5-inch HDD, M.2 SSD",Micro-ATX
Asus ROG Strix Z370-E Gaming,LGA 1151,Intel Z370,2400MHz (dual-channel) / 2666MHz (single-channel),DDR4,"SATA III, M.2 NVMe, U.2 NVMe, USB-C, PCIe 3.0 x4 for NVMe/SATA RAID","M.2, SATA, USB-A, USB-C, HDMI, DisplayPort",ATX
Asus ROG Rampage IV Gene,LGA 2011,Intel X79,DDR3 3200 MHz,DDR3,"SATA III, PCIe, M.2","2.5"", 3.5""",Micro-ATX
Asrock X370 Taichi,AM4,AMD X370,3200MHz,DDR4,"SATA III, PCIe NVMe, M.2","M.2, U.2, SATA III",ATX
Gigabyte GA-A320M-HD2,AM4,AMD A320,3200 MHz (JEDEC),DDR4,"SATA III, M.2 NVMe","M.2 (SATA and PCIe), UEFI",Micro-ATX
Asus EX-B250-V7,LGA 1151,Intel B250,DDR4-2400,DDR4 SDRAM,"SATA III, M.2 NVMe",,ATX
MSI 970 Gaming,AM3+,AMD 970,DDR-1866,DDR3,"SATA III, PCIe x4, M.2 (key E)","AHCI, RAID",ATX
Asrock 970M Pro3,AM3+,AMD 970,DDR3-1866,DDR3,"SATA II, SATA III, PCIe x2","2.5"" HDD, SSD",Micro-ATX
Asus ROG Strix Z270H Gaming,LGA 1151,Intel Z270,DDR4-3200,DDR4,"M.2 NVMe SSD, SATA III, USB-C","M.2, U.2",ATX
Gigabyte GA-Z170-D3H,LGA 1151,Intel Z170,DDR4 2400MHz (OC),DDR4,"SATA III, PCIe NVMe, M.2","2.5"", 3.5""",ATX
Asus B150M-A/M.2,LGA 1151,Intel B150,DDR4 2400MHz,DDR4,"SATA III, M.2 (SATA and PCIe)","2.5"", M.2",Micro-ATX
Asus ROG Maximus V Extreme,LGA 1155,Intel Z77,2400 MHz (OC),DDR3,"SATA III, PCIe, USB","2.5"", 3.5""",E-ATX
MSI Z270 Gaming Plus,LGA 1151,Intel Z270,DDR4 3200 (OC),DDR4,"SATA III, PCIe NVMe, M.2","2.5-inch HDD, M.2 SSD",ATX
Biostar TB250-BTC,LGA 1151,Intel B250,DDR4 2400MHz,DDR4,"SATA III, PCIe NVMe","M.2, mSATA, SATA",ATX
Asus ROG Maximus III Formula,LGA 1156,Intel P55,DDR3-2200,DDR3,"SATA II, eSATA, PCIe x4","2.5-inch and 3.5-inch hard drives, SSDs",ATX
Gigabyte GA-B150-HD3,LGA 1151,Intel B150,DDR4-2400,DDR4,"SATA III, M.2 (NVMe/SATA), UEFI Flash",,ATX
Asus H110I-Plus,LGA 1151,Intel H110,DDR4 2133 MHz,DDR4,"SATA III, M.2","2.5""",Mini-ITX
Asus ROG Maximus VI Gene,LGA 1150,Intel Z87,DDR3-3000 (OC),DDR3,"SATA III, PCIe NVMe, M.2, USB","HDD, SSD, mSATA",Micro-ATX
Asus ROG Striker Extreme,LGA 775,Nvidia 680i SLI,DDR3-1333,DDR3,"SATA II, SATA III, IDE","2.5"", 3.5""",ATX
Asus ROG Maximus Extreme,LGA 775,Intel X38,DDR3-1333 (OC to DDR3-2400),DDR3,"SATA II, SATA III, PCIe x4, eSATA","2.5-inch HDD, M.2 SSD",E-ATX
Fujitsu D3400-B1,LGA 1151,Intel H110,DDR4-2400,DDR4,"SATA III, M.2 (SATA and PCIe)","2.5-inch, mSATA",Micro-ATX
Gigabyte B360M Gaming HD,LGA 1151,Intel B360,DDR4 2400,DDR4,"SATA III, M.2 (SATA), M.2 (PCIe)","HDD, SSD",Micro-ATX
Gigabyte GA-AB350N-Gaming WIFI,AM4,AMD B350,3200MHz,DDR4,"SATA III, PCIe NVMe","2.5-inch HDD, M.2 NVMe SSD, M.2 SATA SSD",Mini-ITX
Asus ROG Rampage II Gene,LGA 1366,Intel X58,DDR3-1600,DDR3,"SATA III, eSATA, USB","2.5-inch, 3.5-inch",Micro-ATX
ECS B350AM4-M,AM4,AMD B350,3200MHz (dual-channel) / 2400MHz (single-channel),DDR4,"SATA III, PCIe NVMe","2.5"" HDD, M.2 SSD",Micro-ATX
Asus ROG Maximus Formula,LGA 775,Intel X38,DDR2 1333 MHz,DDR2 SDRAM,"SATA II, eSATA, IDE","2.5"" and 3.5"" HDD, SSD",ATX
MSI B450M Bazooka Plus,AM4,AMD B450,3200MHz,DDR4,"SATA III, M.2 NVMe, PCIe x4","2.5"", mSATA",Micro-ATX
Asrock Z170 Pro4S,LGA 1151,Intel Z170,DDR4-3200,DDR4 SDRAM,"SATA III, M.2, PCIe x16, USB 3.0",,ATX
MSI B450M Mortar,AM4,AMD B450,DDR4 3200 MHz (OC),DDR4,"SATA III, PCIe NVMe","M.2, U.2",Micro-ATX
Asus E3 Pro Gaming V5,LGA 1151,Intel C232,DDR4-2400,DDR4,"SATA6Gb/s, M.2","2.5"", mSATA, M.2",ATX
Asus ROG Crosshair VI Hero,AM4,AMD X370,DDR4 3200 MHz,DDR4,"SATA III, PCIe NVMe, M.2, USB 3.1 Gen 2","M.2, U.2",ATX
Gigabyte GA-Z270X-Ultra Gaming,LGA 1151,Intel Z270,DDR4 3200,DDR4,"SATA III, M.2, U.2, PCIe x4",,ATX
MSI MPG Z390 Gaming Pro Carbon AC,LGA 1151,Intel Z390,3200MHz (or PC4-25600),DDR4,"M.2, SATA III, USB-C","NVMe, AHCI, IDE",ATX
MSI Z97-S02,LGA 1150,Intel Z97,"3200 MHz (Dual Channel), 1600 MHz (Single Channel)",DDR3,"SATA III, PCIe x4, M.2","AHCI, RAID",ATX
Gigabyte GA-AX370-Gaming K7,AM4,AMD X370,3200MHz (assuming DDR4),DDR4,"SATA III, PCIe NVMe, M.2","M.2 (various lengths), U.2, PCIe x16",ATX
MSI Z370 Tomahawk,LGA 1151,Intel Z370,2400 MHz (OC),DDR4,"SATA III, M.2 NVMe, M.2 SATA","PCIe x16, PCIe x4, PCIe x8, PCIe x1, M.2, U.2",ATX
Asus ROG Strix B250G Gaming,LGA 1151,Intel B250,DDR4 2400 MHz,,"SATA III, PCIe NVMe",,Micro-ATX
Gigabyte GA-AB350M-HD3,AM4,AMD B350,3200MHz,DDR4,"SATA III, M.2 NVMe, PCIe x4","M.2, U.2",Micro-ATX
MSI H110M PRO-VD Plus,LGA 1151,Intel H110,DDR4-2400,DDR4,"SATA III, PCIe NVMe","2.5-inch HDD, M.2 SSD",Micro-ATX
Asrock X570 Taichi,AM4,AMD X570,4800MHz (or higher with DDR4 memory),"DDR4, DDR5","SATA III, M.2 NVMe, U.2 NVMe, PCIe x4","M.2, U.2, SATA",ATX
Asus B150 Pro Gaming D3,LGA 1151,Intel B150,DDR4 2400MHz,DDR4,"SATA III, PCIe NVMe","2.5"" HDD, M.2 SSD",ATX
Asus TUF Z390-Plus Gaming,LGA 1151,Intel Z390,DDR4 4600MHz (OC),DDR4,"SATA III, PCIe NVMe, M.2, U.2","2.5"", M.2",ATX
MSI A320M Grenade,AM4,AMD A320,3200MHz,DDR4,"SATA6Gb/s, M.2",,Micro-ATX
Asus Prime A320M-A,AM4,AMD A320,"DDR4 3200MHz (OC), DDR4 2400MHz (non-OC)",DDR4,"SATA III, M.2 NVMe, PCIe x2","M.2, mSATA",Micro-ATX
Asus Sabertooth 990FX R3.0,AM3+,AMD 990FX,DDR3-2400,DDR3,"SATA III, PCIe, USB",None mentioned (assuming it's compatible with ATX form factor),ATX
Gigabyte GA-H170-D3H,LGA 1151,Intel H170,DDR4 2400,DDR4,"SATA III, PCIe NVMe, M.2","2.5"", 3.5""",ATX
Asrock H110M-DS/Hyper,LGA 1151,Intel H110,2133MHz (assuming it's a dual-channel DDR4 board),DDR4,"SATA III, M.2 (SATA and PCIe), UEFI",,Micro-ATX
Asrock B365M Pro4,LGA 1151,Intel B365,DDR4 3200,DDR4,"SATA III, M.2 (NVMe), PCIe x4","2.5-inch HDD, M.2 SSD",Micro-ATX
Asus ROG Maximus IX Hero,LGA 1151,Intel Z270,DDR4 4600(O.C.),DDR4 SDRAM,"SATA III, PCIe NVMe, M.2, U.2","2.5"", 3.5""",ATX
Asus ROG Rampage V Extreme/U3.1,LGA 2011-3,Intel X99,DDR4 3000MHz,DDR4,"SATA III, PCIe NVMe, M.2","2.5"" HDD, M.2 SSD, U.2 SSD",E-ATX
Biostar A320MH PRO,AM4,AMD A320,DDR4 3200MHz,DDR4,"SATA III, PCIe NVMe","2.5"", mSATA, M.2 (Key E)",Micro-ATX
Asrock X570 Phantom Gaming 4,AM4,AMD X570,3200MHz (OC),DDR4,"SATA III, PCIe NVMe, M.2","SATA, M.2, U.2",ATX
Asus ROG Strix Z370-F Gaming,LGA 1151,Intel Z370,DDR4-3866,DDR4 SDRAM,"SATA III, M.2 NVMe","2.5-inch HDD, M.2 SSD",ATX
Asus ROG Maximus IV Gene-Z/Gen3,LGA 1155,Intel Z68,DDR3 2400MHz (OC),DDR3,"SATA III, eSATA, PCIe x4, AHCI","HDD, SSD",Micro-ATX
MSI H270 Gaming M3,LGA 1151,Intel H270,DDR4 2666MHz,DDR4,"SATA III, PCIe x2, USB 3.0","2.5-inch HDD, M.2 SSD",ATX
Asus ROG Rampage IV Formula,LGA 2011,Intel X79,DDR3-2400,DDR3,"SATA III, PCIe x2, eSATA","2.5"", 3.5""",ATX
Gigabyte GA-990FXA-UD3 Rev. 4.1,AM3+,AMD 990FX,DDR3 2400 MHz,DDR3,"SATA III, PCIe x2 NVMe","2.5-inch Hard Drive, M.2 SSD",ATX
Gigabyte GA-B250M-Gaming 3,LGA 1151,Intel B250,DDR4 2400,DDR4,"SATA III, M.2 NVMe, M.2 SATA","2.5-inch HDD, M.2 SSD",Micro-ATX
Maxsun MS-B250MD4 Turbo,LGA 1151,Intel B250,DDR4 2400MHz,DDR4,"SATA III, PCIe NVMe, M.2","2.5"", M.2, SATA",Micro-ATX
MSI 970A-G46,AM3+,AMD 970,DDR3-2600,DDR3,"SATA III, PCIe x4 (M.2), IDE","AHCI, RAID",ATX
Gigabyte GA-AX370-Gaming 5,AM4,AMD X370,DDR4 3200MHz (OC),DDR4,"SATA III, PCIe NVMe, M.2, UFS","M.2, U.2, SATA, PCIe",ATX
Asrock Z370M Pro4,LGA 1151,Intel Z370,DDR4 4600MHz,DDR4,"SATA III, M.2 NVMe, M.2 SATA","2.5"", 3.5""",Micro-ATX
Asus ROG Strix Z370-H Gaming,LGA 1151,Intel Z370,DDR4 3200MHz,DDR4,"SATA III, PCIe NVMe","M.2, U.2, mSATA",ATX
Biostar H110MH Pro D4,LGA 1151,Intel H110,DDR3/DDR4 1866 MHz (PC3-15000/PC4-12800),DDR3/DDR4,"SATA III, USB","None mentioned specifically, but it's a micro-ATX motherboard, so it likely supports the standard form factors for this size (e.g. M.2, PCIe NVMe SSDs)",Micro-ATX
Asus ROG Maximus VIII Hero,LGA 1151,Intel Z170,DDR4-3200,DDR4,"SATA III, M.2 NVMe, PCIe x16","mSATA, M.2",ATX
MSI 970A-G43,AM3+,AMD 970,1866 MHz,DDR3,"SATA III, SATA II, IDE, AHCI","2.5"", 3.5""",ATX
Asus TUF Z370-Plus Gaming,LGA 1151,Intel Z370,2400 MHz,DDR4,"SATA III, PCIe NVMe, M.2 NVMe","2.5"", M.2",ATX
Gigabyte GA-Z270-HD3P,LGA 1151,Intel Z270,DDR4 2400MHz (OC),DDR4,"SATA III, PCIe NVMe, M.2 SATA, M.2 PCIe","2.5"", 3.5""",ATX
Asrock 970A-G/3.1,AM3+,AMD 970,DDR-1866,DDR3,"SATA III, eSATA","HDD, SSD",ATX
Fujitsu D3401-B2,LGA 1151,Intel Q150,DDR4-2400,DDR4,"SATA III, M.2 NVMe, PCIe x4","2.5-inch HDD, mSATA SSD, M.2 SSD",Micro-ATX
Gigabyte G1.Sniper Z170,LGA 1151,Intel Z170,DDR4-3400 (OC),DDR4,"SATA III, PCIe NVMe, M.2","2.5-inch, M.2, mSATA, U.2",ATX
MSI B250M Pro-VH,LGA 1151,Intel B250,DDR4 2400MHz,DDR4,"SATA III, M.2 (SATA & PCIe), USB-C",,Micro-ATX
Asus Prime B250M-D,LGA 1151,Intel B250,DDR4 2400 MHz (OC),DDR4,"SATA III, PCIe NVMe","M.2, U.2, SATA",Micro-ATX
MSI B250 Gaming M3,LGA 1151,Intel B250,DDR4-2400,DDR4,"SATA III, PCIe NVMe","2.5-inch, mSATA, M.2 (Key A, Key B, and Key M)",ATX
Gigabyte GA-Z170-Gaming K3 Rev. 1.1,LGA 1151,Intel Z170,2400MHz,DDR4,"SATA III, PCIe x2, M.2",2.5-inch and M.2,ATX
Asrock 970 Extreme4,AM3+,AMD 970,DDR-2600 (OC),DDR3,"SATA III, PCIe x2","2.5"" SSD",ATX
Asus Prime H270M-Plus,LGA 1151,Intel H270,DDR4 2400,DDR4,"SATA III, M.2 (Key E), PCIe NVMe","2.5-inch SSD, M.2 SSD",Micro-ATX
Gigabyte B360N Wifi,LGA 1151,Intel B360,DDR4 2400 MHz,DDR4,"SATA III, M.2 NVMe, UEFI BIOS",,Mini-ITX
Asus H170-Pro/USB 3.1,LGA 1151,Intel H170,DDR4 2400MHz,DDR4,"SATA III, M.2 NVMe, PCIe x4","M.2, mSATA, U.2",ATX
Asus Prime H310M-D R2.0,LGA 1151,Intel H310,DDR4 2400 MHz,DDR4,"SATA III, M.2 (SATA), M.2 (PCIe)","2.5-inch HDD, M.2 SSD",Micro-ATX
Asus Sabertooth Z170 S,LGA 1151,Intel Z170,2400MHz,DDR4,"SATA III, PCIe NVMe, M.2, U.2","2.5"", 3.5""",ATX
Asrock Fatal1ty H270 Performance,LGA 1151,Intel H270,2400MHz,DDR4,"SATA III, PCIe NVMe, M.2","2.5""",ATX
Gigabyte GA-H110M-S2PV,LGA 1151,Intel H110,DDR4-2400,DDR4,"SATA III, PCIe NVMe","2.5"", M.2",Micro-ATX
Asus ROG Commando,LGA 775,Intel P965,DDR2-800 MHz,DDR2,SATA II,,ATX
Asus ROG Strix B450-F Gaming,AM4,AMD B450,3200 MHz (or 3466 MHz with OC),DDR4,"SATA III, PCIe NVMe, M.2",M.2,ATX
Asus B150M-C,LGA 1151,Intel B150,DDR4 2400MHz (OC),DDR4,"SATA III, M.2 NVMe, PCIe x4","M.2, U.2, mSATA, SATA III",Micro-ATX
Asrock B360M-HDV,LGA 1151,Intel B360,DDR4 3200 MHz,DDR4,"SATA III, M.2 (NVMe), U.2",,Micro-ATX
Gigabyte X299 UD4 Pro,LGA 2066,Intel X299,DDR4 4600 MHz (OC),DDR4,"SATA III, PCIe NVMe, M.2","M.2, U.2, mSATA",ATX
MSI A320M Gaming Pro,AM4,AMD A320,DDR4 3200MHz,DDR4,"SATA III, M.2 NVMe, M.2 SATA","M.2 SSD, PCIe NVMe SSD, SATA HDD",Micro-ATX
Biostar A70MGP-LSP,FM2+,AMD A70M,2133 MHz,DDR3,"SATA III, M.2",,Micro-ATX
Asrock Z270 Taichi,LGA 1151,Intel Z270,DDR4-3866 (OC),DDR4,"SATA III, PCIe NVMe, M.2 NVMe, USB-C","M.2, mSATA, U.2, SATA",ATX
Asus ROG Zenith Extreme,TR4,AMD X399,3200MHz,DDR4,"SATA III, NVMe, M.2, U.2, PCIe x4","M.2, U.2, PCIe",E-ATX
Gigabyte B360M H,LGA 1151,Intel B360,DDR4 2400 MHz,DDR4,"SATA III, M.2 NVMe, PCIe x2","2.5-inch HDD, M.2 SSD, mSATA SSD",Micro-ATX
MSI H310M Pro-M2 Plus,LGA 1151,Intel H310,DDR4 2400MHz,DDR4,"SATA III, PCIe NVMe","2.5-inch HDD, M.2 SSD",Micro-ATX
Asus ROG Strix X370-F Gaming,AM4,AMD X370,3200 MHz,DDR4,"SATA III, PCIe NVMe","M.2, U.2, SATA",ATX
Asrock Fatal1ty X370 Gaming X,AM4,AMD X370,DDR4 3200,DDR4,"SATA III, PCIe x2, M.2 (NVMe)","2.5"", mSATA, M.2",ATX
MSI X299 Raider,LGA 2066,Intel X299,DDR4-4600 (or higher with OC),DDR4,"SATA III, M.2 NVMe, PCIe x4","2.5-inch HDD, M.2 SSD",ATX
Gigabyte Z370 HD3P,LGA 1151,Intel Z370,DDR4 4333MHz (OC),DDR4 SDRAM,"SATA III, PCIe NVMe, M.2 SATA, M.2 PCIe, U.2","M.2 (Key E), M.2 (Key M), mSATA",ATX
Gigabyte Z370M DS3H,LGA 1151,Intel Z370,DDR4 3200,DDR4,"SATA6Gb/s, M.2 NVMe, PCIe x4",,Micro-ATX
Maxsun MS-H110M,LGA 1151,Intel H110,DDR4 2133MHz,DDR4,"SATA III, PCIe x2",,Micro-ATX
Asrock H110M-DVS R2.0,LGA 1151,Intel H110,DDR4 2133MHz,DDR4,"SATA III, M.2 (SATA and PCIe)",,Micro-ATX
Asrock B460M Pro4,LGA 1200,Intel B460,3200MHz (as per Intel B460 chipset specifications),DDR4,"SATA III, M.2 ( PCIe & SATA), UFS",,Micro-ATX
MSI B250 PC Mate,LGA 1151,Intel B250,2400 MHz,DDR4,"SATA III, M.2 (SATA and PCIe)","HDD, SSD",ATX
Asrock Fatal1ty Z270 Gaming K6,LGA 1151,Intel Z270,DDR4 3200MHz,DDR4,"SATA III, M.2 NVMe, PCIe x4","M.2, U.2, USB-C, SATA",ATX
Colorful Battle Axe C.A320M-D Plus V14,AM4,AMD A320,3200MHz,DDR4,"SATA III, PCIe NVMe","HDD, SSD",Micro-ATX
MSI B150M Bazooka Plus,LGA 1151,Intel B150,DDR3/DDR4 1866,Dual Channel DDR3/DDR4,"SATA III, PCIe NVMe, M.2","2.5-inch HDD, M.2 SSD, mSATA SSD",Micro-ATX
Gigabyte GA-Z270-Gaming 3,LGA 1151,Intel Z270,DDR4 3200MHz,DDR4,"SATA III, PCIe NVMe, M.2 NVMe","2.5"", M.2",ATX
Asrock X570 Pro4,AM4,AMD X570,DDR4 4600(O.C.) / DDR3 2400,DDR4,"SATA6Gb/s, M.2 NVMe PCIe4x4, M.2 NVMe PCIe3x4","M.2, U.2",ATX
Asus ROG Striker II Formula,LGA 775,Nvidia nForce 780i SLI,1066 MHz,DDR3,"SATA II, eSATA, USB","2.5"", 3.5""",ATX
Gigabyte Z390 M Gaming,LGA 1151,Intel Z390,DDR4 4600MHz,DDR4,"SATA III, M.2 NVMe, PCIe NVMe","2.5-inch, M.2",Micro-ATX
Asrock 990FX Extreme3,AM3+,AMD 990FX,DDR3-2400 (Note: This is based on the fact that this motherboard supports DDR3 RAM and has a maximum frequency of 2400 MHz),DDR3,"SATA III, PCIe x2, IDE","2.5"", 3.5""",ATX
Gigabyte X570 Aorus Master,AM4,AMD X570,DDR4 4600MHz (OC),DDR4,"SATA III, PCIe NVMe, M.2, U.2","M.2, U.2",ATX
Gigabyte Z370 Aorus Gaming Wifi,LGA 1151,Intel Z370,DDR4-2666,DDR4,"SATA III, PCIe NVMe","M.2, U.2, USB Flash Drive",ATX
Asrock 970 Extreme3 R2.0,AM3+,AMD 970,DDR3 2400 MHz,DDR3,"SATA III, PCIe x4, AHCI","2.5"", 3.5""",ATX
Gigabyte Z370 Aorus Gaming 7,LGA 1151,Intel Z370,DDR4 3200 MHz,DDR4,"SATA III, PCIe NVMe, M.2 NVMe","AHCI, RAID",ATX
Gigabyte Z370XP SLI,LGA 1151,Intel Z370,DDR4-4133MHz,DDR4,"SATA, PCIe NVMe","M.2, U.2, SATA",ATX
Gigabyte GA-Z270XP-SLI,LGA 1151,Intel Z270,2400MHz,DDR4,"SATA III, M.2 NVMe, UEFI USB",,ATX
Gigabyte GA-H270M-D3H,LGA 1151,Intel H270,DDR4 2400,DDR4,"SATA III, M.2 (NVMe, SATA), PCIe","2.5""",Micro-ATX
Gigabyte GA-EX58-UD3R Rev. 1.6,LGA 1366,Intel X58,DDR3-1066,DDR3,"SATA II, SATA III, eSATA, PCIe x2, IDE","2.5-inch HDD, 3.5-inch HDD",ATX
Asrock Z97E-ITX/ac,LGA 1150,Intel Z97,3200MHz ( Dual Channel ),DDR3,"SATA III, M.2, PCIe x4","mSATA, M.2, SATA DOM",Mini-ITX
Asus TUF B450M-Plus Gaming,AM4,AMD B450,DDR4 3200 MHz (OC),DDR4,"SATA III, M.2 NVMe, PCIe x4","2.5"" HDD, M.2 SSD",Micro-ATX
Asus ROG Rampage III Formula,LGA 1366,Intel X58,DDR3-2400,DDR3,"SATA II, SATA III, PCIe, eSATA","2.5-inch HDD, 3.5-inch HDD, mSATA SSD, SATA SSD, USB Flash Drive",ATX
Asus Prime Z270M-Plus,LGA 1151,Intel Z270,DDR4 3866MHz,DDR4,"SATA III, M.2 (NVMe, SATA), U.2","2.5-inch Hard Drive Bay, M.2 SSD Slot",Micro-ATX
Gigabyte GA-AX370-Gaming K3,AM4,AMD X370,DDR4 3200,DDR4,"SATA III, PCIe NVMe, M.2","2.5"", mSATA, M.2",ATX
Gigabyte GA-Z170-HD3 DDR3,LGA 1151,Intel Z170,2400MHz,DDR3,"SATA III, M.2, PCIe NVMe","AHCI, RAID",ATX
